<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Minnesota","46.25024","-94.25055","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Mississippi","32.75041","-89.75036","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Missouri","38.25031","-92.50046","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Montana","47.00025","-109.75102","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Nevada","39.25021","-116.75119","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"New Hampshire","43.66702","-71.4998","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"New Jersey","40.16706","-74.49987","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"New Mexico","34.50034","-106.00085","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"New York","43.00035","-75.4999","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"North Carolina","35.50069","-80.00032","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"North Dakota","47.50027","-100.00068","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Ohio","40.25034","-83.00018","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Oklahoma","35.49209","-97.50328","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Oregon","44.00013","-120.50139","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Pennsylvania","40.27245","-76.90567","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Rhode Island","41.75038","-71.49978","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"South Dakota","44.50026","-100.25069","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Tennessee","35.75035","-86.25027","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Vermont","44.00034","-72.74983","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Virginia","37.54812","-77.44675","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Washington","47.50012","-120.50147","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"West Virginia","38.50038","-80.50009","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Wisconsin","44.50024","-90.00041","Present","-","Native","-","No","USDA-NRCS (2009)","-"
"Wyoming","43.00024","-107.5009","Present","-","Native","-","No","USDA-NRCS (2009)","-"
