<!--This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License (https://creativecommons.org/licenses/by-nc-sa/3.0/) The data presented in this file MAY NOT include all records shown on the datasheet. This occurs when we are unable to match a territory name to geographical coordinates in an authoritative manner.-->

Region,Latitude,Longitude,Extent,Last Reported,Origin,First Reported,Invasiveness,References,Notes
"Delaware","39.00039","-75.49992","Present","-","-","-","-","EPPO (2014)","-"
"Florida","28.75054","-82.5001","Present","-","-","-","Invasive","Lorenzi and Jeffery (1987)","-"
"Georgia","32.75042","-83.50018","Present","-","-","-","-","Lorenzi and Jeffery (1987); EPPO (2014)","-"
"Hawaii","20.75028","-156.50028","Widespread","-","Introduced","-","Invasive","Mack and Lonsdale (2002); EPPO (2014); Holm et al. (1979); USDA-NRCS (2012)","Hawai’I, Kaua’I, Maui O’ahu"
"Kansas","38.50029","-98.50063","Present","-","-","-","-","EPPO (2014)","-"
"Louisiana","31.00047","-92.0004","Present","-","-","-","-","Lorenzi and Jeffery (1987); EPPO (2014)","-"
"Maryland","39.00039","-76.74997","Present","-","-","-","-","EPPO (2014)","-"
"Mississippi","32.75041","-89.75036","Present","-","-","-","-","EPPO (2014)","-"
"Missouri","38.25031","-92.50046","Present","-","-","-","-","EPPO (2014)","-"
"New Jersey","40.16706","-74.49987","Present","-","-","-","-","EPPO (2014)","-"
"New York","43.00035","-75.4999","Present","-","-","-","-","EPPO (2014)","-"
"North Carolina","35.50069","-80.00032","Present","-","-","-","-","Lorenzi and Jeffery (1987); EPPO (2014)","-"
"Ohio","40.25034","-83.00018","Present","-","-","-","-","EPPO (2014)","-"
"South Carolina","34.00043","-81.00009","Present","-","-","-","-","Lorenzi and Jeffery (1987); EPPO (2014)","-"
"Texas","31.25044","-99.25061","Present","-","-","-","-","EPPO (2014)","-"
"Australia","-25","135","Present","-","-","-","-","Blake (1954); EPPO (2014); Holm et al. (1977); Mack and Lonsdale (2002); Parsons and Cuthbertson (2001); PIER (2013)","Evidence exists that could be native to Northern Territory"
"State of New South Wales","-33","146","Present","-","-","-","-","EPPO (2014)","-"
"State of Queensland","-20","145","Present","-","-","-","-","EPPO (2014)","-"
"State of Western Australia","-25","122","Present","-","-","-","-","EPPO (2014)","-"
"Cook Islands","-21.217","-159.787","Present","-","Introduced","-","Invasive","PIER (2003); EPPO (2014)","Rarotonga Island"
